                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.60205,                0.55151,                0.93526,                0.91914,                0.87091,                0.92487,                0.66848,                0.94588,                0.56204,                 1.0696,             0.00050931,             0.00050931,             0.00050931
                    129,                0.59713,                0.53407,                0.93361,                0.92639,                0.87864,                 0.9306,                0.66896,                0.94784,                0.53412,                 1.0744,             0.00050012,             0.00050012,             0.00050012
                    130,                0.59105,                0.55844,                0.92675,                0.93733,                0.87627,                0.92873,                0.67356,                0.93566,                 0.5414,                  1.065,             0.00049093,             0.00049093,             0.00049093
                    131,                0.57038,                0.50311,                0.92145,                0.92375,                0.87167,                0.92223,                0.67589,                0.93595,                0.57129,                 1.0627,             0.00048174,             0.00048174,             0.00048174
                    132,                0.59494,                0.52834,                0.92234,                0.94226,                0.86356,                0.92526,                0.68245,                0.93068,                0.55471,                 1.0751,             0.00047255,             0.00047255,             0.00047255
                    133,                0.57569,                0.53451,                0.92807,                0.92303,                0.86524,                0.92814,                0.67806,                 0.9429,                0.59748,                 1.0719,             0.00046337,             0.00046337,             0.00046337
                    134,                0.60213,                0.54285,                0.93262,                0.93278,                0.87124,                0.92706,                0.67336,                0.94061,                0.53812,                 1.0698,             0.00045418,             0.00045418,             0.00045418
                    135,                0.59098,                0.52515,                0.92553,                0.92675,                0.86957,                0.92761,                0.66562,                0.94116,                0.56599,                 1.0771,             0.00044499,             0.00044499,             0.00044499
                    136,                0.59074,                0.51079,                0.92789,                0.93992,                0.87198,                0.92182,                0.66572,                0.93209,                0.55558,                 1.0757,              0.0004358,              0.0004358,              0.0004358
                    137,                0.61166,                0.53286,                0.93814,                0.92878,                0.86619,                0.92414,                0.66755,                 0.9383,                0.56562,                 1.0772,             0.00042661,             0.00042661,             0.00042661
                    138,                0.57184,                0.52254,                 0.9185,                0.94033,                 0.8565,                0.92788,                0.67001,                0.94016,                0.55696,                  1.073,             0.00041743,             0.00041743,             0.00041743
                    139,                0.58321,                0.53485,                0.93323,                0.91738,                0.87673,                0.92492,                 0.6746,                0.93082,                0.56164,                 1.0745,             0.00040824,             0.00040824,             0.00040824
                    140,                0.58044,                0.52926,                 0.9331,                0.93456,                0.87412,                0.92017,                0.65289,                0.93857,                0.56091,                 1.0744,             0.00039905,             0.00039905,             0.00039905
                    141,                0.56774,                0.49483,                0.91612,                0.92693,                0.87606,                0.92848,                0.68029,                0.92947,                0.55752,                   1.07,             0.00038986,             0.00038986,             0.00038986
                    142,                0.57145,                0.50617,                0.91673,                0.93219,                0.87501,                 0.9265,                 0.6859,                0.93846,                0.55294,                 1.0788,             0.00038067,             0.00038067,             0.00038067
                    143,                0.56582,                0.49698,                0.91462,                0.94423,                0.86732,                0.92929,                0.68102,                0.93616,                0.54253,                 1.0707,             0.00037149,             0.00037149,             0.00037149
                    144,                0.55997,                0.48954,                0.91721,                0.92381,                 0.8773,                 0.9236,                 0.6777,                0.93506,                0.55908,                 1.0711,              0.0003623,              0.0003623,              0.0003623
                    145,                0.56722,                0.49343,                 0.9212,                0.93955,                0.86521,                 0.9296,                0.68069,                0.92393,                0.54248,                 1.0701,             0.00035311,             0.00035311,             0.00035311
                    146,                0.54594,                 0.4816,                0.90659,                0.94214,                0.87208,                0.93177,                0.67688,                0.92536,                0.53442,                 1.0723,             0.00034392,             0.00034392,             0.00034392
                    147,                 0.5629,                0.48136,                0.91743,                0.94795,                0.85263,                0.92131,                0.67932,                 0.9297,                0.55929,                 1.0731,             0.00033473,             0.00033473,             0.00033473
